Country,Oil,Coal,Cement,Gas,Flaring,Other Industry
Macao,900821,0,0,156675,0,0
Madagascar,2685786,1732469,58124,0,0,0
Malawi,1339593,103230,309588,0,0,0
Malaysia,96716990,88600820,13135503,87562510,2807829,0
Maldives,2062305,0,0,0,0,0
Mali,6064181,0,697487,0,0,0
Malta,1041074.06,7,0,780767,0,381
Marshall Islands,153331,0,0,0,0,0
Mauritania,4412598,0,0,0,0,0
Mauritius,2015989.1,2122948,0,0,0,0
Mexico,238040770,38865252,18815774,176578690,10322937,0
Micronesia (country),149498,0,0,0,0,0
Moldova,2973075,312081,599134,2077934,0,0
Mongolia,5025431,41270740,573796,0,0,0
Montenegro,1108424,1219955,0,0,0,0
Montserrat,22235,0,0,0,0,0
Morocco,36747160,25058546,5110000,1751903,0,0
Mozambique,4391622,31418,1162479,1985831,452033,0
Myanmar,15444287,3615076,2556803,8596208,20850,0
Namibia,3526571,143243,504391,0,0,0
Nauru,57499,0,0,0,0,0
Nepal,8122721.5,5119976,3434511,0,0,0
Netherlands,45244144,16798668,0,54382216,1108093,1135239
New Caledonia,2425371,2616302,25950,0,0,0
New Zealand,18642930,3389950,408358,6222242,850107,605649
Nicaragua,5389885,0,198494,0,0,0
Niger,2111154,311558,36281,68026,70616,0
Nigeria,65273424,5770178,11237298,35380260,10878551,0
Niue,7667,0,0,0,0,0
North America,2855067100,865042000,72390504,2212430300,91621720,26998116
North America (excl. USA),604211140,88274810,32676284,456506980,28328120,2161357
North Korea,2591298,55673004,2499942,0,0,0
North Macedonia,3434941,3390235,0,623647,0,0
Norway,21346394,4123204.2,603138,10913418,1511535,403312
Oceania,172842130,148672750,3252508,82696290,18117996,4720996
Oman,12675231,23675,2252735,60007450,3552209,0
Pakistan,70898630,54056240,15970858,59313964,426989,0
Palau,222330,0,0,0,0,0
Palestine,3496897,0,0,0,0,0
Panama,7378154,1897469,318288,4424427,0,0
Papua New Guinea,6355579,0,0,1838314,128121,0
Paraguay,7840236,3040,296010,0,0,0
Peru,28827230,1947126,5526843,19435368,127066,0
Philippines,55070844,83181710,10334854,5873433,117818,0
Poland,91435520,145356770,6751021,36108716,4055685,5573791
Portugal,23826610,174665,2228547,9020259,1174634,803425
Qatar,12313965,3672,1536750,99691460,2165971,0
Romania,32428714,10302007,3677740,20164420,807693,858902
Russia,390756600,427635870,23224156,897260300,60215784,16831926
Rwanda,1194416,22441,222457,100906,0,0
Ryukyu Islands (GCP),0,0,0,0,0,0
Saint Helena,11118,0,0,0,0,0
Saint Kitts and Nevis,233472,0,0,0,0,0
Saint Lucia,511414,0,0,0,0,0
Saint Pierre and Miquelon,55588,0,0,0,0,0
Saint Vincent and the Grenadines,237178,0,0,0,0,0
Samoa,256830,0,0,0,0,0
Sao Tome and Principe,166171,0,0,0,0,0
Saudi Arabia,459965400,519629,29886762,241156050,4677474,0
Senegal,7277735,1713568,2895735,13605,0,0
Serbia,9870965,25258462,1083630,6144731,0,0
Seychelles,551015,0,0,0,0,0
Sierra Leone,1231506,0,0,0,0,0
Singapore,27900788,1446610,0,19905388,0,0
Sint Maarten (Dutch part),693003,0,0,0,0,0
Slovakia,10407018,9478471,1489719,8459558,57182,847212
Slovenia,6086983,2949233,490340,1570398,112833,118603
Solomon Islands,302829,0,0,0,0,0
Somalia,557614,0,0,0,0,0
South Africa,57360716,329772960,5282258,9432980,44185,0
South America,681427500,92096390,47877532,241998130,39173404,6392000
South Korea,170389150,251869860,22918452,122050536,6083,10182520
South Sudan,1580456,0,0,0,0,0
Spain,132889620,13552842,7927612,60777750,3824197,2643633
Sri Lanka,12848691,5965279,1503553,0,0,0
Sudan,18196694,0,1555589,0,249172,0
Suriname,2614635,0,19716,13096,0,0
Sweden,25365452,6790012,1258572,1388025,11796,1742421
Switzerland,24880920,431417,1667094,5568052,21669,168148
Syria,16437532,8704,873153,6147757,2036125.9,0
